Data as of,Start Date,End Date,Group,Year,Month,State,COVID-19 Deaths,Pneumonia Deaths,Influenza Deaths
10/31/2022,01/01/2020,01/31/2020,By Month,2020,1,Alabama,,282,35
10/31/2022,02/01/2020,02/29/2020,By Month,2020,2,Alabama,,276,39
10/31/2022,03/01/2020,03/31/2020,By Month,2020,3,Alabama,48,287,33
10/31/2022,04/01/2020,04/30/2020,By Month,2020,4,Alabama,339,352,10
10/31/2022,05/01/2020,05/31/2020,By Month,2020,5,Alabama,430,399,
10/31/2022,06/01/2020,06/30/2020,By Month,2020,6,Alabama,399,350,
10/31/2022,07/01/2020,07/31/2020,By Month,2020,7,Alabama,879,522,
10/31/2022,08/01/2020,08/31/2020,By Month,2020,8,Alabama,964,572,
10/31/2022,09/01/2020,09/30/2020,By Month,2020,9,Alabama,568,426,0
10/31/2022,10/01/2020,10/31/2020,By Month,2020,10,Alabama,560,437,
10/31/2022,11/01/2020,11/30/2020,By Month,2020,11,Alabama,768,456,
10/31/2022,12/01/2020,12/31/2020,By Month,2020,12,Alabama,1749,854,
10/31/2022,01/01/2021,01/31/2021,By Month,2021,1,Alabama,2415,1164,
10/31/2022,02/01/2021,02/28/2021,By Month,2021,2,Alabama,970,560,
10/31/2022,03/01/2021,03/31/2021,By Month,2021,3,Alabama,393,364,
10/31/2022,04/01/2021,04/30/2021,By Month,2021,4,Alabama,216,287,
10/31/2022,05/01/2021,05/31/2021,By Month,2021,5,Alabama,212,277,
10/31/2022,06/01/2021,06/30/2021,By Month,2021,6,Alabama,132,270,
10/31/2022,07/01/2021,07/31/2021,By Month,2021,7,Alabama,261,335,0
10/31/2022,08/01/2021,08/31/2021,By Month,2021,8,Alabama,1682,854,
10/31/2022,09/01/2021,09/30/2021,By Month,2021,9,Alabama,1978,981,
10/31/2022,10/01/2021,10/31/2021,By Month,2021,10,Alabama,844,577,
10/31/2022,11/01/2021,11/30/2021,By Month,2021,11,Alabama,299,335,
10/31/2022,12/01/2021,12/31/2021,By Month,2021,12,Alabama,317,352,
10/31/2022,01/01/2022,01/31/2022,By Month,2022,1,Alabama,1232,675,13
10/31/2022,02/01/2022,02/28/2022,By Month,2022,2,Alabama,1256,675,
10/31/2022,03/01/2022,03/31/2022,By Month,2022,3,Alabama,382,354,
10/31/2022,04/01/2022,04/30/2022,By Month,2022,4,Alabama,90,214,
10/31/2022,05/01/2022,05/31/2022,By Month,2022,5,Alabama,64,220,0
10/31/2022,06/01/2022,06/30/2022,By Month,2022,6,Alabama,111,217,0
10/31/2022,07/01/2022,07/31/2022,By Month,2022,7,Alabama,246,233,
10/31/2022,08/01/2022,08/31/2022,By Month,2022,8,Alabama,258,268,0
10/31/2022,09/01/2022,09/30/2022,By Month,2022,9,Alabama,182,249,0
10/31/2022,10/01/2022,10/29/2022,By Month,2022,10,Alabama,48,116,
10/31/2022,01/01/2020,01/31/2020,By Month,2020,1,Alaska,0,10,
10/31/2022,02/01/2020,02/29/2020,By Month,2020,2,Alaska,0,14,
10/31/2022,03/01/2020,03/31/2020,By Month,2020,3,Alaska,,28,
10/31/2022,04/01/2020,04/30/2020,By Month,2020,4,Alaska,,15,0
10/31/2022,05/01/2020,05/31/2020,By Month,2020,5,Alaska,,15,0
10/31/2022,06/01/2020,06/30/2020,By Month,2020,6,Alaska,,12,0
10/31/2022,07/01/2020,07/31/2020,By Month,2020,7,Alaska,12,18,0
10/31/2022,08/01/2020,08/31/2020,By Month,2020,8,Alaska,19,20,0
10/31/2022,09/01/2020,09/30/2020,By Month,2020,9,Alaska,12,16,0
10/31/2022,10/01/2020,10/31/2020,By Month,2020,10,Alaska,34,36,0
10/31/2022,11/01/2020,11/30/2020,By Month,2020,11,Alaska,69,60,0
10/31/2022,12/01/2020,12/31/2020,By Month,2020,12,Alaska,97,68,
10/31/2022,01/01/2021,01/31/2021,By Month,2021,1,Alaska,37,32,0
10/31/2022,02/01/2021,02/28/2021,By Month,2021,2,Alaska,18,17,0
10/31/2022,03/01/2021,03/31/2021,By Month,2021,3,Alaska,16,19,0
10/31/2022,04/01/2021,04/30/2021,By Month,2021,4,Alaska,17,18,0
10/31/2022,05/01/2021,05/31/2021,By Month,2021,5,Alaska,32,31,0
10/31/2022,06/01/2021,06/30/2021,By Month,2021,6,Alaska,,11,0
10/31/2022,07/01/2021,07/31/2021,By Month,2021,7,Alaska,25,36,0
10/31/2022,08/01/2021,08/31/2021,By Month,2021,8,Alaska,110,78,0
10/31/2022,09/01/2021,09/30/2021,By Month,2021,9,Alaska,190,132,0
10/31/2022,10/01/2021,10/31/2021,By Month,2021,10,Alaska,220,148,0
10/31/2022,11/01/2021,11/30/2021,By Month,2021,11,Alaska,115,84,
10/31/2022,12/01/2021,12/31/2021,By Month,2021,12,Alaska,55,61,0
10/31/2022,01/01/2022,01/31/2022,By Month,2022,1,Alaska,66,54,
10/31/2022,02/01/2022,02/28/2022,By Month,2022,2,Alaska,79,55,0
10/31/2022,03/01/2022,03/31/2022,By Month,2022,3,Alaska,31,31,0
10/31/2022,04/01/2022,04/30/2022,By Month,2022,4,Alaska,20,23,
10/31/2022,05/01/2022,05/31/2022,By Month,2022,5,Alaska,21,25,
10/31/2022,06/01/2022,06/30/2022,By Month,2022,6,Alaska,18,22,
10/31/2022,07/01/2022,07/31/2022,By Month,2022,7,Alaska,24,21,0
10/31/2022,08/01/2022,08/31/2022,By Month,2022,8,Alaska,23,23,0
10/31/2022,09/01/2022,09/30/2022,By Month,2022,9,Alaska,16,18,0
10/31/2022,10/01/2022,10/29/2022,By Month,2022,10,Alaska,0,,0
10/31/2022,01/01/2020,01/31/2020,By Month,2020,1,Arizona,0,376,40
10/31/2022,02/01/2020,02/29/2020,By Month,2020,2,Arizona,0,340,54
